"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","start",NA,NA,"NA",NA,NA,NA,NA,NA,NA
"dependent.var5","end",NA,NA,"NA",NA,NA,NA,NA,NA,NA
"1","deviceid","a.1..household.displacement.status","deviceID00000000","Non-displaced",0.055,NA,0.023369803565475,0.086630196434525,NA,NA
"2","deviceid","a.1..household.displacement.status","deviceID00000000","Refugees",0,NA,0,0,NA,NA
"3","deviceid","a.1..household.displacement.status","deviceID00000000","IDPs",0.050561797752809,NA,0.018339668052536,0.082783927453082,NA,NA
"4","deviceid","a.1..household.displacement.status","deviceID00000000","Migrants",0,NA,0,0,NA,NA
"5","deviceid","a.1..household.displacement.status","deviceID00000000","Returnees",0.0508474576271186,NA,0,0.106964692224368,NA,NA
"6","deviceid","a.1..household.displacement.status","deviceID00000015","Non-displaced",0.045,NA,0.0162384304205982,0.0737615695794018,NA,NA
"7","deviceid","a.1..household.displacement.status","deviceID00000015","Refugees",0,NA,0,0,NA,NA
"8","deviceid","a.1..household.displacement.status","deviceID00000015","IDPs",0.0449438202247191,NA,0.0144747579395576,0.0754128825098806,NA,NA
"9","deviceid","a.1..household.displacement.status","deviceID00000015","Migrants",0,NA,0,0,NA,NA
"10","deviceid","a.1..household.displacement.status","deviceID00000015","Returnees",0.0847457627118644,NA,0.0136041833366684,0.15588734208706,NA,NA
"11","deviceid","a.1..household.displacement.status","deviceID00000016","Non-displaced",0.02,NA,0.000576268067727582,0.0394237319322724,NA,NA
"12","deviceid","a.1..household.displacement.status","deviceID00000016","Refugees",0.0588235294117647,NA,0,0.170794707380575,NA,NA
"13","deviceid","a.1..household.displacement.status","deviceID00000016","IDPs",0.0449438202247191,NA,0.0144747579395576,0.0754128825098806,NA,NA
"14","deviceid","a.1..household.displacement.status","deviceID00000016","Migrants",0,NA,0,0,NA,NA
"15","deviceid","a.1..household.displacement.status","deviceID00000016","Returnees",0.0508474576271186,NA,0,0.106964692224368,NA,NA
"16","deviceid","a.1..household.displacement.status","deviceID00000018","Non-displaced",0.05,NA,0.019762112643143,0.080237887356857,NA,NA
"17","deviceid","a.1..household.displacement.status","deviceID00000018","Refugees",0,NA,0,0,NA,NA
"18","deviceid","a.1..household.displacement.status","deviceID00000018","IDPs",0.0730337078651685,NA,0.03476856997474,0.111298845755597,NA,NA
"19","deviceid","a.1..household.displacement.status","deviceID00000018","Migrants",0,NA,0,0,NA,NA
"20","deviceid","a.1..household.displacement.status","deviceID00000018","Returnees",0.0677966101694915,NA,0.00357917427943043,0.132014046059553,NA,NA
