list_name,name,label::English
yesno,yes,yes
yesno,no,no
gender,yes,male
gender,no,female
a1_list,a1_1,nondisplaced
a1_list,a1_2,idps
a1_list,a1_3,returnees
a1_list,a1_4,refugees
a1_list,a1_5,migrants
a7_list,a7_1,1
a7_list,a7_2,2
b2_list,b2_1_a1_1,yemeni_nondisplaced
b2_list,b2_2_a1_1,djibutian_nondisplaced
b2_list,b2_3_a1_1,somali_nondisplaced
b2_list,b2_4_a1_1,ethiopian_nondisplaced
b2_list,b2_5_a1_1,eritrean_nondisplaced
b2_list,b2_6_a1_1,other_nondisplaced
b2_list,b2_1_a1_2,yemeni_idps
b2_list,b2_2_a1_2,djibutian_idps
b2_list,b2_3_a1_2,somali_idps
b2_list,b2_4_a1_2,ethiopian_idps
b2_list,b2_5_a1_2,eritrean_idps
b2_list,b2_6_a1_2,other_idps
b2_list,b2_1_a1_3,yemeni_returnees
b2_list,b2_2_a1_3,djibutian_returnees
b2_list,b2_3_a1_3,somali_returnees
b2_list,b2_4_a1_3,ethiopian_returnees
b2_list,b2_5_a1_3,eritrean_returnees
b2_list,b2_6_a1_3,other_returnees
b2_list,b2_2_a1_4,djibutian_refugees
b2_list,b2_3_a1_4,somali_refugees
b2_list,b2_4_a1_4,ethiopian_refugees
b2_list,b2_5_a1_4,eritrean_refugees
b2_list,b2_6_a1_4,other_refugees
b2_list,b2_2_a1_5,djibutian_nondisplaced
b2_list,b2_3_a1_5,somali_idps
b2_list,b2_4_a1_5,ethiopian_returnees
b2_list,b2_5_a1_5,eritrean_refugees
b2_list,b2_6_a1_5,other_migrants
b4_list,b4_1,1
b4_list,b4_2,2
b4_list,b4_3,3
b4_list,b4_4,4
b4_list,b4_5,5
b713_list,b713_1,1
b713_list,b713_2,2
b713_list,b713_3,3
b713_list,b713_4,4
b713_list,b713_5,5
b713_list,b713_6,6
b713_list,b713_7,7
b713_list,b713_8,8
b713_list,b713_9,9
b713_list,b713_10,10
b713_list,b713_11,11
b717_list,b717_1,1
b717_list,b717_2,2
b717_list,b717_3,1
b717_list,b717_4,2
b717_list,b717_5,3
b719_list,b719_1,1
b719_list,b719_2,2
b719_list,b719_3,3
b719_list,b719_4,4
b719_list,b719_5,5
b7110_list,b7110_1,1
b7110_list,b7110_2,2
