list_name,name,label::English,label::REACH
yesno,1,1,yes
yesno,2,2,no
gender,1,1,male
gender,2,2,female
a1_list,1,1,nondisplaced
a1_list,2,2,idps
a1_list,3,3,returnees
a1_list,4,4,refugees
a1_list,5,5,migrants
a7_list,1,1,from
a7_list,2,2,to
b2_list,1,1,yemeni_nondisplaced
b2_list,2,2,djibutian_nondisplaced
b2_list,3,3,somali_nondisplaced
b2_list,4,4,ethiopian_nondisplaced
b2_list,5,5,eritrean_nondisplaced
b2_list,6,6,other_nondisplaced
b2_list,1,1,yemeni_idps
b2_list,2,2,djibutian_idps
b2_list,3,3,somali_idps
b2_list,4,4,ethiopian_idps
b2_list,5,5,eritrean_idps
b2_list,6,6,other_idps
b2_list,1,1,yemeni_returnees
b2_list,2,2,djibutian_returnees
b2_list,3,3,somali_returnees
b2_list,4,4,ethiopian_returnees
b2_list,5,5,eritrean_returnees
b2_list,6,6,other_returnees
b2_list,2,2,djibutian_refugees
b2_list,3,3,somali_refugees
b2_list,4,4,ethiopian_refugees
b2_list,5,5,eritrean_refugees
b2_list,6,6,other_refugees
b2_list,2,2,djibutian_nondisplaced
b2_list,3,3,somali_idps
b2_list,4,4,ethiopian_returnees
b2_list,5,5,eritrean_refugees
b2_list,6,6,other_migrants
b4_list,1,1,married
b4_list,2,2,unmarried
b4_list,3,3,divorced
b4_list,4,4,widowed
b4_list,5,5,i don’t want to answer
b713_list,1,1,head 
b713_list,2,2,wife/husband
b713_list,3,3,son/daughter  
b713_list,4,4,son/daughter-in law 
b713_list,5,5,grandchild 
b713_list,6,6,father/mother  
b713_list,7,7,brother /sister
b713_list,8,8,nephew/ niece  
b713_list,9,9,brother/sister-in law
b713_list,10,10,parent in law 
b713_list,11,11,other (specify)
b717_list,1,1,resident
b717_list,2,2,idp
b719_list,1,1,birth certificate 
b719_list,2,2,personal id card
b719_list,3,3,passport
b719_list,4,4,does not have any documents
b719_list,5,5,i don’t know
b7110_list,1,1,married
b7110_list,2,2,un married  
b7110_list,3,3,widow
b7110_list,4,4,divorced
b7112_list,1,1,currently enrolled
b7112_list,2,2,had previously enrolled
b7112_list,3,3,never enrolled
b7113_list,1,1,school doesn’t exist
b7113_list,2,2,financial issues
b7113_list,3,3,young age
b7113_list,4,4,person with special needs
b7113_list,5,5,family’s unwillingness of education
b7113_list,6,6,lack of male and female teachers
b7113_list,7,7,difficulty of school access
b7113_list,8,8,individual’s unwillingness to learn
b7113_list,9,9,war conditions 
b7113_list,10,10,she/he work to support the hh
b7113_list,11,11,"other, specify"
b7114_list,1,1,illiterate
b7114_list,2,2,reads and writes
b7114_list,3,3,pre-school
b7114_list,4,4,primary education
b7114_list,5,5,secondary education
b7114_list,6,6,diploma after middle school
b7114_list,7,7,diploma after secondary education
b7114_list,8,8,bachelor’s degree
b7114_list,9,9,masters
b7114_list,10,10,phd
b7114_list,11,11,"informal education: literacy, adult education, etc"
b7115_list,1,1,"yes, regularly"
b7115_list,2,2,"yes, occasionally "
b7115_list,3,3,no
b7116_list,1,1,agriculture
b7116_list,2,2,fishing
b7116_list,3,3,industry
b7116_list,4,4,construction
b7116_list,5,5,trade
b7116_list,6,6,hotels and restaurants
b7116_list,7,7,transport and storage 
b7116_list,8,8,telecommunication
b7116_list,9,9,banks and banking services 
b7116_list,10,10,security
b7116_list,11,11,education
b7116_list,12,12,health
b7116_list,13,13,"other, please specify "
b72_list,1,1,no difficulty
b72_list,2,2,some difficulty
b72_list,3,3,a lot of difficulty
b72_list,4,4,cannot do at all
c1_list,1,1,once
c1_list,2,2,twice
c1_list,3,3,three times
c1_list,4,4,more than three times
c1_list,5,5,i do not want to answer
c1_list,6,6,i do not know
c3_list,1,1,al ara                               
c3_list,2,2,al khabia
c3_list,3,3,bier ali                             
c3_list,4,4,ain bamabad
c3_list,5,5,manfath al wadee3a
c3_list,6,6,tajammou3 sharj al fellaheen
c3_list,7,7,"other, specify "
c4_list,1,1,once
c4_list,2,2,twice
c4_list,3,3,three times
c4_list,4,4,more than three times
c4_list,5,5,i do not want to answer
c4_list,6,6,i do not know
c6_list,1,1,"direct threat of violence/harm to household members, but no physical attack"
c6_list,2,2,direct violations against hh members due to armed conflict
c6_list,3,3,direct threat of abuse committed against self or family
