Governorate PCODES,"Governorates
",IOM Distrcit Pcode,"District Name
","IOM SubDistrcit Pcode
","SubDistrcit Name
","IOM Location Pcode
","Location Name_en
",IDPs,Migrants,Host,Refugee,Returnee,Total
YE12,Abyan - ????,YE1209,Ahwar - ?????,YE120922,Ahwar_2 - ?????_2,12092212600,Ambsaty,15,,,,,15
YE12,Abyan - ????,YE1201,Al Mahfad - ??????,YE120123,Al Mahfad_3 - ??????_3,12012300101,5 ??????,15,,,,,15
YE12,Abyan - ????,YE1201,Al Mahfad - ??????,YE120124,Al Mahfad_4 - ??????_4,12012414500,??????,,,5,,,5
YE12,Abyan - ????,YE1201,Al Mahfad - ??????,YE120123,Al Mahfad_3 - ??????_3,12012319500,?????? ???,,,5,,,5
YE12,Abyan - ????,YE1201,Al Mahfad - ??????,YE120121,Al Mahfad_1 - ??????_1,12012120900,Serin,,,5,,,5
YE12,Abyan - ????,YE1208,Al Wade'a - ??????,YE120821,Al Wade'A_1 - ??????_1,12082115600,Al Ahmed Salem,,,5,,,5
YE12,Abyan - ????,YE1208,Al Wade'a - ??????,YE120822,Al Wade'A_2 - ??????_2,12082217600,?? ?????,,,5,,,5
YE12,Abyan - ????,YE1208,Al Wade'a - ??????,YE120821,Al Wade'A_1 - ??????_1,12082123800,Al Saber,,,5,,,5
YE12,Abyan - ????,YE1208,Al Wade'a - ??????,YE120822,Al Wade'A_2 - ??????_2,12082220100,Al-Hardoub,5,,,,,5
YE12,Abyan - ????,YE1208,Al Wade'a - ??????,YE120821,Al Wade'A_1 - ??????_1,12082100100,Al-Wadhee'e,10,,,,5,15
YE12,Abyan - ????,YE1208,Al Wade'a - ??????,YE120821,Al Wade'A_1 - ??????_1,12082113000,Amkado,,,,,10,10
YE12,Abyan - ????,YE1203,Jayshan - ?????,YE120321,Jayshan_1 - ?????_1,12032112800,Al-Ef,,,5,,,5
YE12,Abyan - ????,YE1203,Jayshan - ?????,YE120323,Jayshan_3 - ?????_3,12032310900,?????? ??????,,,5,,,5
YE12,Abyan - ????,YE1203,Jayshan - ?????,YE120323,Jayshan_3 - ?????_3,12032322600,Amsayam,15,,,,,15
YE12,Abyan - ????,YE1203,Jayshan - ?????,YE120321,Jayshan_1 - ?????_1,12032113900,Tharah,,,5,,,5
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121123,Khanfir_3 - ????_3,12112313400,?????,,,5,,,5
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121121,Khanfir_1 - ????_1,12112122600,Al-Darjaj,,,5,,,5
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121123,Khanfir_3 - ????_3,12112319600,??????,,,5,,,5
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121122,Khanfir_2 - ????_2,12012211900,???????,,,5,,,5
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121122,Khanfir_2 - ????_2,12112216100,Al-Coud,15,,,,50,65
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121123,Khanfir_3 - ????_3,12112300501,Al-Makhzan,5,,,,,5
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121123,Khanfir_3 - ????_3,12112328800,Al-Wadi,15,,,,,15
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121123,Khanfir_3 - ????_3,12112300401,?????,5,,,,,5
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121121,Khanfir_1 - ????_1,12112129900,Jasr 26 Meyklan,5,,,,,5
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121123,Khanfir_3 - ????_3,12112300106,???? ?????????,0,0,5,10,0,15
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121121,Khanfir_1 - ????_1,12112110100,???? ??????,10,0,10,0,40,60
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121121,Khanfir_1 - ????_1,12112119400,Halmah,5,,5,,,10
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121123,Khanfir_3 - ????_3,12112313700,???? ??? ?????? -?????,,,5,,,5
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121121,Khanfir_1 - ????_1,12112115800,Shaqrah,15,0,0,10,35,60
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121123,Khanfir_3 - ????_3,12112300203,???? ????,,,5,,,5
YE12,Abyan - ????,YE1211,Khanfir - ????,YE121121,Khanfir_1 - ????_1,12112100301,??????? ????,15,,,,,15
YE12,Abyan - ????,YE1204,Lawdar - ????,YE120421,Lawdar_1 - ????_1,12042128600,Amajel,5,,,,,5
YE12,Abyan - ????,YE1204,Lawdar - ????,YE120421,Lawdar_1 - ????_1,12042123900,Al Al-Zahef,,,5,,,5
YE12,Abyan - ????,YE1204,Lawdar - ????,YE120421,Lawdar_1 - ????_1,12042149500,Aal Seilan,,,5,,,5
YE12,Abyan - ????,YE1204,Lawdar - ????,YE120421,Lawdar_1 - ????_1,12042113800,Al Abadi,,,,,10,10
YE12,Abyan - ????,YE1204,Lawdar - ????,YE120422,Lawdar_2 - ????_2,12042216300,Al Mazahem,,,,,10,10
YE12,Abyan - ????,YE1204,Lawdar - ????,YE120421,Lawdar_1 - ????_1,12042131300,Al Madhlaf,,,5,,,5
YE12,Abyan - ????,YE1204,Lawdar - ????,YE120421,Lawdar_1 - ????_1,12042117300,Al-Eyn,,,5,,,5
YE12,Abyan - ????,YE1204,Lawdar - ????,YE120422,Lawdar_2 - ????_2,12042223700,????????,,,5,,,5
YE12,Abyan - ????,YE1204,Lawdar - ????,YE120422,Lawdar_2 - ????_2,12042237000,???????,,,5,,,5
YE12,Abyan - ????,YE1204,Lawdar - ????,YE120422,Lawdar_2 - ????_2,12042221700,Al-Najdah,5,,,,,5
YE12,Abyan - ????,YE1204,Lawdar - ????,YE120422,Lawdar_2 - ????_2,12042200101,Batheib,15,,,,,15
YE12,Abyan - ????,YE1204,Lawdar - ????,YE121122,Khanfir_2 - ????_2,12112238600,???? ?????? ?????,,,5,,,5
YE12,Abyan - ????,YE1204,Lawdar - ????,YE120421,Lawdar_1 - ????_1,12042113900,Arafan,,,5,,15,20
