Gov,District,GovPcode,District Pcode,NonDisplaced,IDPs,Returnees,Refugees,Migrants,TOTAL,Pop proportion NonDisplaced,Pop proportion IDPs,Pop proportion Returnees,Pop proportion Refugees,Pop proportion Migrants,# Surveys NonDisplaced,# Surveys NonDisplaced - Over,# Surveys IDPs,# Surveys IDPs - Over,# Surveys Returnees,# Surveys Returnees -Over,# Surveys Refugees,# Surveys Refugees - Over,# Surveys Migrants,# Surveys Migrants - Over
Ibb,Al Qafr,YE11,YE1101,143186,3396,,,,146828,0.04908044,0.023216703,0,0,0,11,11,5,15,0,0,0,0,NA,NA
Ibb,Yarim,YE11,YE1102,237618,8406,1680,,,247704,0.081449276,0.057467493,0.12345679,0,0,18,18,12,12,26,26,0,0,NA,NA
Ibb,Ar Radmah,YE11,YE1103,103377,4278,900,,,108555,0.035434949,0.029246483,0.066137566,0,0,8,18,6,15,14,14,0,0,NA,NA
Ibb,An Nadirah,YE11,YE1104,102182,5310,,,,107492,0.035025334,0.036301735,0,0,0,8,18,8,18,0,0,0,0,NA,NA
Ibb,Ash Sha'ir,YE11,YE1105,55093,2466,,,,57559,0.018884449,0.016858772,0,0,0,4,15,4,15,0,0,0,0,NA,NA
Ibb,As Saddah,YE11,YE1106,110830,7584,2172,,,120586,0.037989644,0.051847902,0.159611993,0,0,8,20,11,11,34,34,0,0,NA,NA
Ibb,Al Makhadir,YE11,YE1107,156699,2232,,,,158931,0.053712345,0.015259034,0,0,0,12,12,3,15,0,0,0,0,NA,NA
Ibb,Hubaysh,YE11,YE1108,144043,1860,,,,145903,0.049374197,0.012715862,0,0,0,11,11,3,15,0,0,0,0,NA,NA
Ibb,Hazm Al Udayn,YE11,YE1109,108550,8388,,,,116938,0.037208119,0.057344436,0,0,0,8,20,12,12,0,0,0,0,NA,NA
Ibb,Far Al Udayn,YE11,YE1110,123385,6702,,,,130087,0.042293172,0.045818122,0,0,0,9,20,10,18,0,0,0,0,NA,NA
Ibb,Al Udayn,YE11,YE1111,196826,6690,,,,203516,0.067466838,0.045736084,0,0,0,15,15,10,18,0,0,0,0,NA,NA
Ibb,Jiblah,YE11,YE1112,155577,7692,270,,,163539,0.053327753,0.052586242,0.01984127,0,0,12,12,11,11,4,12,0,0,NA,NA
Ibb,Ba'dan,YE11,YE1113,157704,4356,522,,,162582,0.054056833,0.029779728,0.038359788,0,0,12,12,6,15,8,12,0,0,NA,NA
Ibb,As Sabrah,YE11,YE1114,95165,4608,1188,,,100961,0.032620089,0.031502523,0.087301587,0,0,7,18,7,15,19,19,0,0,NA,NA
Ibb,As Sayyani,YE11,YE1115,152771,8790,,,,161561,0.052365929,0.060092703,0,0,0,11,11,13,13,0,0,0,0,NA,NA
Ibb,Dhi As Sufal,YE11,YE1116,226480,28926,,,,255406,0.077631459,0.197752164,0,0,0,17,17,43,43,0,0,0,0,NA,NA
Ibb,Mudhaykhirah,YE11,YE1117,106362,10332,,,,116694,0.03645813,0.070634563,0,0,0,8,20,15,15,0,0,0,0,NA,NA
Ibb,Al Mashannah,YE11,YE1118,138923,7662,1740,,,148325,0.047619195,0.052381148,0.127865961,0,0,10.30,10,11,11,27,27,0,0,NA,NA
Ibb,Al Dhihar,YE11,YE1119,212605,12390,1542,,,226537,0.07287547,0.084704049,0.113315697,0,0,16,16,18,18,24,24,0,0,NA,NA
Ibb,Ibb,YE11,YE1120,189998,4206,3594,211,,197798,0.065126377,0.028754256,0.264109347,1,0,14,14,6,15,57,57,113,113,NA,NA
Abyan,Al Mahfad,YE12,YE1201,35690,606,,,,36296,0.062972203,0.016008876,0,0,0,14,14,3,12,0,0,NA,NA,NA,NA
Abyan,Mudiyah,YE12,YE1202,47213,252,,,,47465,0.083303632,0.006657156,0,0,0,18,18,1,12,0,0,NA,NA,NA,NA
Abyan,Jayshan,YE12,YE1203,19863,342,,,,20205,0.035046704,0.009034712,0,0,0,8,12,2,12,0,0,NA,NA,NA,NA
Abyan,Lawdar,YE12,YE1204,112768,3606,2640,,,119014,0.198970284,0.095260739,0.261904762,0,0,43,43,21,21,56,56,NA,NA,NA,NA
Abyan,Sibah,YE12,YE1205,21344,930,,,,22274,0.037659812,0.024568077,0,0,0,8,12,5,12,0,0,NA,NA,NA,NA
Abyan,Rasad,YE12,YE1206,73240,828,,,,74068,0.129226231,0.021873514,0,0,0,28,28,5,12,0,0,NA,NA,NA,NA
Abyan,Sarar,YE12,YE1207,20210,360,,,,20570,0.035658958,0.009510223,0,0,0,8,12,2,12,0,0,NA,NA,NA,NA
Abyan,Al Wade'a,YE12,YE1208,31092,822,,,,31914,0.054859393,0.02171501,0,0,0,12,12,5,12,0,0,NA,NA,NA,NA
Abyan,Ahwar,YE12,YE1209,34039,354,,,,34393,0.060059143,0.00935172,0,0,0,13,13,2,12,0,0,NA,NA,NA,NA
Abyan,Zingibar,YE12,YE1210,32601,8106,,,,40707,0.057521905,0.214138532,0,0,0,12,12,46,46,0,0,NA,NA,NA,NA
Abyan,Khanfir,YE12,YE1211,138698,21648,7440,,,167786,0.244721733,0.571881439,0.738095238,0,0,53,53,123,123,157,157,NA,NA,NA,NA
Amanat Al Asimah,Old City,YE13,YE1301,120886,2802,,613,,124228,0.043334948,0.006502639,0,0.013293431,0,9,20,1,15,0,0,3,15,0,0
Amanat Al Asimah,Shu'aub,YE13,YE1302,405149,41478,10968,782,,458685,0.145236923,0.096258546,0.058962036,0.016958341,0,31,31,21,21,13,13,4,15,0,0
Amanat Al Asimah,Az'zal,YE13,YE1303,197844,11772,28020,1867,,238375,0.070922682,0.027319437,0.150630584,0.040487498,0,15,15,6,20,33,33,9,18,0,0
Amanat Al Asimah,Assafi'yah,YE13,YE1304,155492,15060,40998,16490,,214379,0.055740431,0.034949942,0.220398026,0.357599809,0,12,12,8,20,48,48,77,77,0,0
Amanat Al Asimah,As Sabain,YE13,YE1305,451025,84816,76026,10540,356,615519,0.161682451,0.196833619,0.408702384,0.22856895,1,35,35,43,43,88,88,49,49,140,140
Amanat Al Asimah,Al Wahdah,YE13,YE1306,183487,15792,1488,5362,,203780,0.065776017,0.036648704,0.007999226,0.116279574,0,14,14,8,20,2,15,25,25,0,0
Amanat Al Asimah,At Tahrir,YE13,YE1307,118871,13452,,1644,,132972,0.042612615,0.031218235,0,0.035651552,0,9,20,7,20,0,0,8,18,0,0
Amanat Al Asimah,Ma'ain,YE13,YE1308,517466,92676,2208,6277,,612857,0.185500075,0.215074425,0.011869819,0.136122135,0,40,40,47,47,3,15,29,29,0,0
