district_code,district_name,migrants,refugees,returnees,nondisplaced,idps
YE1119,Al Dhihar,0,65,45,15,40
YE1107,Al Makhadir,0,0,0,25,20
YE1118,Al Mashannah,0,0,50,25,25
YE1101,Al Qafr,0,0,0,25,15
YE1111,Al Udayn,0,0,0,15,25
YE1104,An Nadirah,0,0,0,25,25
YE1103,Ar Radmah,0,0,25,25,20
YE1114,As Sabrah,0,0,15,25,20
YE1106,As Saddah,0,0,20,25,20
YE1115,As Sayyani,0,0,0,25,25
YE1105,Ash Sha'ir,0,0,0,20,20
YE1113,Ba'dan,0,0,15,25,25
YE1116,Dhi As Sufal,0,0,0,15,35
YE1110,Far Al Udayn,0,0,0,25,15
YE1109,Hazm Al Udayn,0,0,15,25,15
YE1108,Hubaysh,0,0,0,25,25
YE1120,Ibb,0,0,0,15,25
YE1112,Jiblah,0,0,0,25,25
YE1117,Mudhaykhirah,0,0,0,25,25
YE1102,Yarim,0,0,0,15,25
YE1209,Ahwar,0,0,0,0,15
YE1201,Al Mahfad,0,0,0,15,15
YE1208,Al Wade'a,0,0,15,15,15
YE1203,Jayshan,0,0,0,15,15
YE1211,Khanfir,0,20,125,50,90
YE1204,Lawdar,0,0,65,45,25
YE1202,Mudiyah,0,0,0,20,15
YE1206,Rasad,0,0,0,30,15
YE1207,Sarar,0,0,0,15,15
YE1205,Sibah,0,0,0,15,15
YE1210,Zingibar,0,20,0,15,55
YE1306,Al Wahdah,0,20,15,15,20
YE1305,As Sabain,45,80,45,35,25
YE1304,Assafi'yah,0,25,0,15,15
YE1307,At Tahrir,0,0,0,25,20
YE1309,Ath'thaorah,0,20,25,25,25
YE1303,Az'zal,0,0,45,15,25
YE1310,Bani Al Harith,0,0,80,25,105
YE1308,Ma'ain,0,25,5,40,45
YE1301,Old City,0,0,0,25,20
YE1302,Shu'aub,0,15,20,30,25
YE1416,Al A'rsh,15,0,0,15,20
YE1410,Al Bayda,15,0,0,15,20
YE1409,Al Bayda City,0,0,15,20,35
YE1420,Al Malagim,0,0,0,20,15
YE1414,Al Quraishyah,0,0,55,20,20
YE1418,Ar Ryashyyah,0,0,0,15,15
YE1411,As Sawadiyah,0,0,25,20,15
YE1404,As Sawma'ah,0,0,0,15,15
YE1419,Ash Sharyah,0,0,0,20,20
YE1407,At Taffah,0,0,0,20,15
YE1405,Az Zahir,0,0,15,15,15
YE1406,Dhi Na'im,0,0,0,15,20
YE1403,Maswarah,0,0,0,15,15
YE1408,Mukayras,0,0,60,15,0
YE1401,Na'man,20,0,0,15,15
YE1402,Nati',20,0,15,15,20
YE1413,Rada',55,20,0,20,30
YE1412,Radman Al Awad,35,0,0,15,15
YE1417,Sabah,20,0,0,20,15
YE1415,Wald Rabi',0,0,35,15,15
YE1521,Al Ma'afer,0,0,0,25,25
YE1522,Al Mawasit,0,0,0,25,25
YE1511,Al Misrakh,0,0,25,25,25
YE1517,Al Mudhaffar,0,0,65,15,25
YE1505,Al Mukha,0,0,35,25,25
YE1518,Al Qahirah,0,0,25,15,25
YE1515,Al Wazi'iyah,0,0,30,20,20
YE1513,As Silw,0,0,25,25,25
YE1514,Ash Shamayatayn,0,0,0,15,20
YE1520,At Ta'iziyah,0,0,0,20,30
YE1506,Dhubab,0,0,20,15,25
YE1512,Dimnat Khadir,0,0,0,25,15
YE1516,Hayfan,0,0,0,25,25
YE1508,Jabal Habashy,0,0,20,25,25
YE1504,Maqbanah,0,0,15,15,15
YE1509,Mashra'a Wa Hadnan,0,0,20,15,20
YE1501,Mawiyah,45,0,0,25,25
YE1507,Mawza,0,0,25,20,25
YE1510,Sabir Al Mawadim,0,0,20,25,25
YE1519,Salh,0,0,25,15,25
YE1523,Sama,0,0,0,20,25
YE1503,Shara'b Ar Rawnah,0,0,0,15,25
YE1502,Shara'b As Salam,0,0,0,25,25
YE1608,Al Ghayl,0,0,20,15,25
YE1605,Al Hazm,0,0,80,15,30
YE1602,Al Humaydat,0,0,20,15,20
YE1609,Al Khalq,0,0,0,15,20
YE1607,Al Maslub,0,0,0,15,20
YE1603,Al Matammah,0,0,15,15,25
YE1606,Al Maton,0,0,90,15,40
YE1604,Az Zahir,0,0,20,15,25
YE1610,Bart Al Anan,0,0,20,30,15
YE1601,Khabb wa ash Sha'af,0,0,20,35,20
YE1612,Kharab Al Marashi,0,0,0,30,35
YE1611,Rajuzah,0,0,0,40,25
YE1704,Abs,0,0,160,20,90
YE1714,Aflah Al Yaman,0,0,15,20,25
YE1710,Aflah Ash Shawm,0,0,15,25,20
YE1708,Al Jamimah,0,0,0,20,15
YE1717,Al Maghrabah,0,0,0,25,20
YE1715,Al Mahabishah,0,0,0,25,25
YE1716,Al Miftah,0,0,0,20,20
YE1725,Ash Shaghadirah,0,0,0,25,20
YE1721,Ash Shahil,0,0,0,20,15
YE1712,Aslem,0,0,0,25,25
YE1701,Bakil Al Mir,0,0,0,15,25
YE1727,Bani Al Awam,0,0,20,25,20
YE1724,Bani Qa'is,0,0,0,25,20
YE1729,Hajjah,0,0,0,20,0
YE1728,Hajjah City,0,0,0,25,20
YE1702,Haradh,0,0,0,15,0
YE1705,Hayran,0,0,0,15,0
YE1711,Khayran Al Muharraq,0,0,15,25,25
YE1722,Ku'aydinah,0,0,0,25,25
YE1718,Kuhlan Affar,0,0,0,20,15
YE1709,Kuhlan Ash Sharaf,0,0,0,25,20
YE1707,Kushar,0,0,25,25,25
YE1720,Mabyan,0,0,15,25,20
YE1703,Midi,0,0,0,15,25
YE1706,Mustaba,0,0,0,25,25
YE1726,Najrah,0,0,0,20,20
YE1713,Qafl Shamer,0,0,15,25,20
YE1731,Qarah,0,0,0,20,25
YE1719,Sharas,0,0,0,15,20
YE1723,Wadhrah,0,0,0,15,20
YE1730,Washhah,0,0,0,25,25
YE1809,Ad Dahi,0,0,0,25,20
YE1814,Ad Durayhimi,0,0,0,25,25
YE1825,Al Garrahi,0,0,0,25,25
YE1811,Al Hajjaylah,0,0,0,15,20
