location,IDPs,Migrants,Host,Refugee,Returnee,Total
YE12092212600,15,,,,,15
YE12012300101,15,,,,,15
YE12012414500,,,5,,,5
YE12012319500,,,5,,,5
YE12012120900,,,5,,,5
YE12082115600,,,5,,,5
YE12082217600,,,5,,,5
YE12082123800,,,5,,,5
YE12082220100,5,,,,,5
YE12082100100,10,,,,5,15
YE12082113000,,,,,10,10
YE12032112800,,,5,,,5
YE12032310900,,,5,,,5
YE12032322600,15,,,,,15
YE12032113900,,,5,,,5
YE12112313400,,,5,,,5
YE12112122600,,,5,,,5
YE12112319600,,,5,,,5
YE12012211900,,,5,,,5
YE12112216100,15,,,,50,65
YE12112300501,5,,,,,5
YE12112328800,15,,,,,15
YE12112300401,5,,,,,5
YE12112129900,5,,,,,5
YE12112300106,0,0,5,10,0,15
YE12112110100,10,0,10,0,40,60
YE12112119400,5,,5,,,10
YE12112313700,,,5,,,5
YE12112115800,15,0,0,10,35,60
YE12112300203,,,5,,,5
YE12112100301,15,,,,,15
YE12042128600,5,,,,,5
YE12042123900,,,5,,,5
YE12042149500,,,5,,,5
YE12042113800,,,,,10,10
YE12042216300,,,,,10,10
YE12042131300,,,5,,,5
YE12042117300,,,5,,,5
YE12042223700,,,5,,,5
YE12042237000,,,5,,,5
YE12042221700,5,,,,,5
YE12042200101,15,,,,,15
YE12112238600,,,5,,,5
YE12042113900,,,5,,15,20
YE12042127200,,,5,,,5
YE12042210700,,,,,10,10
YE12042211600,,,,,20,20
YE12022200102,10,,,,,10
YE12022215100,,,5,,,5
YE12022211400,,,5,,,5
YE12042200130,,,5,,,5
YE12022110500,,,5,,,5
YE12022200101,5,,,,,5
YE12062114200,5,,,,,5
YE12062173500,,,5,,,5
YE12062145300,,,5,,,5
YE12062246600,5,,,,,5
YE12062122200,,,5,,,5
YE12062157500,,,5,,,5
YE12062100101,5,,,,,5
YE12062111400,,,5,,,5
YE12062247900,,,5,,,5
YE12072216100,,,5,,,5
YE12072123700,10,,,,,10
YE12072211700,,,5,,,5
YE12072235000,,,5,,,5
YE12072119400,5,,,,,5
YE12052216300,,,5,,,5
YE12052210200,,,5,,,5
YE12052223000,,,5,,,5
YE12052217700,10,,,,,10
YE12052211500,5,,,,,5
YE12102110900,,,5,,,5
YE12022117300,,,5,,,5
YE12102100101,,,,5,,5
YE12102110300,10,,,,,10
YE12102110400,5,,,,,5
YE12022100130,,,5,,,5
YE12102110100,25,,,,,25
YE12102100103,,,,5,,5
YE12102111700,15,,,,,15
YE12102100102,,,,10,,10
YE24042100129,,,10,,,10
YE24042100106,,,10,,,10
YE24042100105,5,,,,,5
YE12102100140,,15,,,,15
YE24042100101,20,,,,,20
YE24042100102,40,,,,15,55
YE24042100107,5,,,,,5
YE24042100136,,,5,,,5
YE24042100104,5,,,,5,10
YE24042100103,5,,,,5,10
YE24032100103,5,15,0,0,5,25
YE24042100140,,,5,,,5
YE24032100102,10,,,,10,20
YE24032100130,,,5,,,5
YE24032100140,,,5,,,5
YE24032100105,,45,,,,45
YE24032100112,,,10,,,10
YE24032100101,,,,,5,5
YE24032100150,,,5,,,5
YE24032100106,,,5,,,5
YE24062100119,,,5,,,5
YE24062100105,5,,,,5,10
YE24062100116,,,5,,,5
YE24062100118,,,5,,,5
YE24062100130,,,5,,,5
YE24062100101,5,,,,5,10
YE24062100102,5,,,,40,45
YE24032100160,,,5,,,5
YE24022100130,,,5,,,5
YE24022100140,,,5,,,5
YE24022100102,25,,,,,25
YE24022100150,,,5,,,5
YE24022100103,5,,,,,5
YE24022100160,,,5,,,5
YE24022100170,,,10,,,10
YE24022100180,,,5,,,5
YE24052100101,,,,,5,5
YE24052100103,,,,,5,5
YE24052100102,5,,,,5,10
YE24052100109,,,5,,,5
YE24052100105,5,,,,5,10
YE24022100190,,,5,,,5
YE24052100108,,,5,,,5
YE24052100107,5,,,,35,40
YE24052100104,,,,,5,5
YE24052100112,,,5,,,5
YE24072100117,,,5,,,5
YE24052100140,,,10,,,10
YE24072100101,10,,,15,30,55
YE24072100105,5,,,,10,15
YE24072100104,5,,,,,5
YE24072100103,,,,,5,5
YE24072100109,,,5,,,5
YE24072100106,,,,,15,15
YE24072100130,,,5,,,5
YE24072100140,,,5,,,5
YE24012100101,10,,,210,15,235
YE24012100116,,35,25,,,60
YE24012100104,,,5,,,5
YE24012100102,35,,,,10,45
YE24082100106,,,,5,,5
YE24082100104,,,,,5,5
YE24072100150,,,5,,,5
YE24082100102,,,,,5,5
YE24082100103,5,,,15,5,25
YE24082100105,5,,,,5,10
YE24082100101,5,,,,5,10
YE24082100130,,,5,,,5
YE24082100140,,,5,,,5
YE14162110400,5,,,,,5
YE14162111800,5,,,,,5
YE24082100150,,,5,,,5
YE14162111000,,15,,,,15
YE14162111900,,,5,,,5
YE14162112500,5,,5,,,10
YE14162100101,5,,,,,5
YE14102310100,,15,,,,15
YE14102910200,5,,,,,5
YE14102810300,5,,,,,5
YE14103010100,,,5,,,5
YE14102211000,5,,,,,5
YE14102210800,,,5,,,5
YE14102510100,5,,5,,,10
YE14162100130,,,5,,,5
YE14092100130,,,5,,,5
YE14092100140,,,5,,,5
YE14092100150,,,5,,,5
YE14092100101,35,,,,15,50
YE14202210900,5,,5,,,10
YE14202210400,,,5,,,5
YE14202112300,,,5,,,5
YE14202510900,,,5,,,5
YE14202510500,5,,,,,5
YE14202310300,5,,,,,5
YE14142310600,5,,,,,5
YE14142310700,,,5,,,5
YE14142210100,,,,,10,10
YE14142112400,5,,,,15,20
YE14142111400,5,,5,,,10
YE14142111700,5,,5,,,10
YE14142113600,,,,,25,25
YE14142113400,,,,,5,5
YE14142113100,,,5,,,5
YE14182210100,5,,,,,5
YE14182211000,5,,,,,5
YE14182110300,5,,,,,5
YE14182110900,,,5,,,5
YE14182311300,,,5,,,5
YE14182310100,,,5,,,5
YE14112210300,5,,,,,5
YE14112210400,,,,,5,5
YE14112110100,5,,,,,5
YE14112110600,,,,,5,5
YE14112110500,,,5,,5,10
YE14112110800,,,5,,,5
YE14112713200,5,,5,,,10
YE14112611400,,,5,,,5
YE14112310200,,,,,5,5
YE14112410100,,,,,5,5
YE14042910800,,,5,,,5
YE14042800101,5,,,,,5
YE14042110400,5,,,,,5
YE14043210300,,,5,,,5
YE14043210400,,,5,,,5
YE14043311200,5,,,,,5
YE14192100100,,,5,,,5
YE14192115400,,,5,,,5
YE14192114800,5,,,,,5
YE14192116500,5,,,,,5
YE14192115000,5,,5,,,10
YE14192110300,5,,,,,5
YE14192115700,,,5,,,5
YE14072412700,15,,,,,15
YE14072411100,,,10,,,10
YE14072110700,,,5,,,5
YE14073010400,,,5,,,5
YE14052210300,,,5,,,5
YE14052110800,,,,,5,5
YE14052100101,,,,,5,5
YE14052111100,,,,,5,5
YE14052110700,10,,,,,10
YE14052310500,,,5,,,5
YE14052310300,5,,,,,5
YE14052510300,,,5,,,5
YE14062510100,5,,,,,5
YE14062410100,5,,5,,,10
YE14092100160,,,5,,,5
YE14062100101,10,,,,,10
YE14062610100,,,5,,,5
YE14032611300,10,,,,,10
YE14032210300,,,5,,,5
YE14032311300,,,5,,,5
YE14032512000,5,,,,,5
YE14032511000,,,5,,,5
YE14082112800,,,5,,,5
YE14082112900,,,5,,,5
YE14082119300,,,5,,,5
YE14082110400,,,,,5,5
YE14082113000,,,,,15,15
YE14082112700,,,,,15,15
YE14082100101,,,,,25,25
YE14012510100,5,,,,,5
YE14012510400,,,5,,,5
YE14012480700,,5,,,,5
YE14012910200,5,,,,,5
YE14012810200,5,,,,,5
YE14012610400,,10,,,,10
YE14012610300,,,5,,,5
YE14012610100,,,5,,,5
YE14062100130,,5,,,,5
YE14022110200,,,5,,,5
YE14022610200,,,,,15,15
YE14022480600,,5,,,,5
YE14022710100,5,,5,,,10
YE14022980200,,,5,,,5
YE14022910100,5,,,,,5
YE14022810600,5,,,,,5
YE14022810200,5,,,,,5
YE14022211700,,5,,,,5
YE14022211300,,5,,,,5
YE14022211500,,5,,,,5
YE14012600130,,,10,,,10
YE14132100140,,,5,,,5
YE14132100150,,,5,,,5
YE14132100101,30,55,,20,,105
YE14122811400,5,,,,,5
YE14122610100,5,,,,,5
YE14122611700,,5,,,,5
YE14122111300,5,,,,,5
YE14122111200,,10,,,,10
