"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"b_1","a_2","no","Ibb",0.509803921568627,NA,0.3710757287241,0.648532114413155,"a1_metadata","a1_1"
"b_1","a_2","yes","Ibb",0.490196078431373,NA,0.351467885586845,0.6289242712759,"a1_metadata","a1_1"
"b_1","a_2","no","Abyan",0.609756097560976,NA,0.458407161562158,0.761105033559793,"a1_metadata","a1_1"
"b_1","a_2","yes","Abyan",0.390243902439024,NA,0.238894966440207,0.541592838437842,"a1_metadata","a1_1"
"b_1","a_2","no","Amanat Al Asimah",0.543478260869565,NA,0.397771805881454,0.689184715857676,"a1_metadata","a1_1"
"b_1","a_2","yes","Amanat Al Asimah",0.456521739130435,NA,0.310815284142324,0.602228194118546,"a1_metadata","a1_1"
"b_1","a_2","no","Al Bayda",0.341463414634146,NA,0.194335433255907,0.488591396012385,"a1_metadata","a1_1"
"b_1","a_2","yes","Al Bayda",0.658536585365854,NA,0.511408603987615,0.805664566744093,"a1_metadata","a1_1"
"b_1","a_2","no","Taizz",0.46551724137931,NA,0.335870819102586,0.595163663656035,"a1_metadata","a1_1"
"b_1","a_2","yes","Taizz",0.53448275862069,NA,0.404836336343965,0.664129180897414,"a1_metadata","a1_1"
"b_1","a_2","no","Al Jawf",0.490196078431373,NA,0.351467885586845,0.6289242712759,"a1_metadata","a1_1"
"b_1","a_2","yes","Al Jawf",0.509803921568627,NA,0.3710757287241,0.648532114413155,"a1_metadata","a1_1"
"b_1","a_2","no","Hajjah",0.521739130434783,NA,0.375616964316631,0.667861296552935,"a1_metadata","a1_1"
"b_1","a_2","yes","Hajjah",0.478260869565217,NA,0.332138703447066,0.624383035683369,"a1_metadata","a1_1"
"b_1","a_2","no","Al Hudaydah",0.525,NA,0.368087557790618,0.681912442209382,"a1_metadata","a1_1"
"b_1","a_2","yes","Al Hudaydah",0.475,NA,0.318087557790618,0.631912442209382,"a1_metadata","a1_1"
"b_1","a_2","no","Hadramaut",0.584905660377358,NA,0.450821377133422,0.718989943621295,"a1_metadata","a1_1"
"b_1","a_2","yes","Hadramaut",0.415094339622641,NA,0.281010056378705,0.549178622866578,"a1_metadata","a1_1"
"b_1","a_2","no","Dhamar",0.372549019607843,NA,0.238377653948593,0.506720385267093,"a1_metadata","a1_1"
"b_1","a_2","yes","Dhamar",0.627450980392157,NA,0.493279614732907,0.761622346051407,"a1_metadata","a1_1"
"b_1","a_2","no","Shabwah",0.5,NA,0.350376777041455,0.649623222958545,"a1_metadata","a1_1"
"b_1","a_2","yes","Shabwah",0.5,NA,0.350376777041455,0.649623222958545,"a1_metadata","a1_1"
"b_1","a_2","no","Sa'ada",0.648648648648649,NA,0.492518220218168,0.804779077079129,"a1_metadata","a1_1"
"b_1","a_2","yes","Sa'ada",0.351351351351351,NA,0.195220922920871,0.507481779781832,"a1_metadata","a1_1"
"b_1","a_2","no","Sana'a",0.568181818181818,NA,0.419956248072011,0.716407388291626,"a1_metadata","a1_1"
"b_1","a_2","yes","Sana'a",0.431818181818182,NA,0.283592611708374,0.58004375192799,"a1_metadata","a1_1"
"b_1","a_2","no","Aden",0.666666666666667,NA,0.527212776493041,0.806120556840293,"a1_metadata","a1_1"
"b_1","a_2","yes","Aden",0.333333333333333,NA,0.193879443159707,0.472787223506959,"a1_metadata","a1_1"
"b_1","a_2","no","Lahj",0.716981132075472,NA,0.594400144678122,0.839562119472821,"a1_metadata","a1_1"
"b_1","a_2","yes","Lahj",0.283018867924528,NA,0.160437880527179,0.405599855321878,"a1_metadata","a1_1"
"b_1","a_2","no","Marib",0.36734693877551,NA,0.230805765725884,0.503888111825136,"a1_metadata","a1_1"
"b_1","a_2","yes","Marib",0.63265306122449,NA,0.496111888174864,0.769194234274116,"a1_metadata","a1_1"
"b_1","a_2","no","Al Mahwit",0.46551724137931,NA,0.335870819102586,0.595163663656035,"a1_metadata","a1_1"
"b_1","a_2","yes","Al Mahwit",0.53448275862069,NA,0.404836336343965,0.664129180897414,"a1_metadata","a1_1"
"b_1","a_2","no","Al Maharah",0.5,NA,0.359836416234487,0.640163583765513,"a1_metadata","a1_1"
"b_1","a_2","yes","Al Maharah",0.5,NA,0.359836416234487,0.640163583765513,"a1_metadata","a1_1"
"b_1","a_2","no","Amran",0.404761904761905,NA,0.254338132631043,0.555185676892767,"a1_metadata","a1_1"
"b_1","a_2","yes","Amran",0.595238095238095,NA,0.444814323107233,0.745661867368958,"a1_metadata","a1_1"
"b_1","a_2","no","Al Dhale'e",0.488888888888889,NA,0.341012228066535,0.636765549711243,"a1_metadata","a1_1"
"b_1","a_2","yes","Al Dhale'e",0.511111111111111,NA,0.363234450288758,0.658987771933465,"a1_metadata","a1_1"
"b_1","a_2","no","Raymah",0.568627450980392,NA,0.431185791577846,0.706069110382938,"a1_metadata","a1_1"
"b_1","a_2","yes","Raymah",0.431372549019608,NA,0.293930889617062,0.568814208422154,"a1_metadata","a1_1"
"b_1","a_2","no","Socotra",0.51063829787234,NA,0.366009094538754,0.655267501205926,"a1_metadata","a1_1"
"b_1","a_2","yes","Socotra",0.48936170212766,NA,0.344732498794074,0.633990905461246,"a1_metadata","a1_1"
"b_1","a_2","no","Ibb",0.52,NA,0.379927490695065,0.660072509304935,"a1_metadata","a1_3"
"b_1","a_2","yes","Ibb",0.48,NA,0.339927490695065,0.620072509304935,"a1_metadata","a1_3"
"b_1","a_2","no","Abyan",0.371428571428571,NA,0.208797257029602,0.534059885827541,"a1_metadata","a1_3"
"b_1","a_2","yes","Abyan",0.628571428571429,NA,0.465940114172459,0.791202742970398,"a1_metadata","a1_3"
"b_1","a_2","no","Amanat Al Asimah",0.62,NA,0.483912492028861,0.756087507971139,"a1_metadata","a1_3"
"b_1","a_2","yes","Amanat Al Asimah",0.38,NA,0.243912492028861,0.516087507971139,"a1_metadata","a1_3"
